書類管理番号,提出者名,提出日,リスク番号,リスク内容,文字数,api_output,要約,大分類,リスク名,33業種区分
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,6,"⑤ ⑤ Apple Inc.及びGoogle Inc.の動向について


当社グループは、ユーザーにスマートフォン向けアプリを提供しており、Apple Inc.及びGoogle Inc.の両社が運営するプラットフォームにアプリを提供することが現段階の当社の事業の重要な前提条件であります。これらプラットフォーム事業者の事業戦略の転換及び動向によっては、当社グループの事業及び業績に影響を及ぼす可能性があります。",205,"要約: AppleとGoogleのプラットフォームの事業戦略の変更が、当社の事業や業績に影響を及ぼすリスク。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",AppleとGoogleのプラットフォームの事業戦略の変更が、当社の事業や業績に影響を及ぼすリスク。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,7,"⑥ ⑥ 為替レートについて


当社グループは、海外企業が提供するサービスを利用し、その利用料を米ドルにて支払っているため、為替レートの変動の影響を受けます。為替レートの変動によりコストが増加した場合には、市場環境を見極めながら適切に価格反映を行っていきますが、為替レートの変動が当社グループの業績に影響を及ぼす可能性があります。なお、当社グループはベトナム及びインドに子会社を有しておりますが、当該子会社における為替レート変動による影響は軽微です。",225,"要約: 為替レートの変動によりコストが増加する可能性があり、その結果、業績に影響を及ぼすリスクが存在する。

大分類: 2. 財務リスク  
リスク名: 為替リスク",為替レートの変動によりコストが増加する可能性があり、その結果、業績に影響を及ぼすリスクが存在する。,2. 財務リスク,為替リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,9,"① ① 経営成績の変動について


当社グループが取り組む事業領域は、市場規模が急速な進化・拡大を続けながらもまだ歴史が浅く、競合環境、価格動向、ビジネスモデルへの規制等には、不透明な部分が多くあります。このような環境下において、当社グループは、事業規模の拡大と収益源の多様化を図るため、当社グループのノウハウを活かした収益性の高い新規事業の創出に積極的に取り組んでまいりますが、事前に十分な検討をしたにもかかわらず、期待した成果があがらない場合や予想困難なリスクの発生により当初の事業計画を達成できない場合には、当社グループの業績及び財政状態に影響を及ぼす可能性があります。",288,"要約: 市場環境の不確実性や新規事業の取り組みが成果を上げられないリスクにより、業績や財政状態に悪影響が出る可能性がある。

大分類: 1. 戦略リスク  
リスク名: 新規事業リスク",市場環境の不確実性や新規事業の取り組みが成果を上げられないリスクにより、業績や財政状態に悪影響が出る可能性がある。,1. 戦略リスク,新規事業リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,10,"② ② 四半期毎の業績の変動について


イベントの開催、金融機関向けサービスリリース等による一時的な売上の発生、新プランリリースやプラン変更等により、当社の売上高成長は、年間を通じて平準化されずに、四半期決算の業績が著しく変動する可能性があります。
なお、2023年11月期及び2024年11月期における売上高及び営業損益は次の通りであります。
 
(2023年11月期)
(単位：千円)
























 




第1四半期
連結会計期間
(自
2022年12月１日
至
2023年２月28日
)




第2四半期
連結会計期間
(自
2023年３月１日
至
2023年５月31日
)




第3四半期
連結会計期間
(自
2023年６月１日
至
2023年８月31日
)




第4四半期
連結会計期間
(自
2023年９月１日
至
2023年11月30日
)




連結会計年度
(自
2022年12月１日
至
2023年11月30日
)








Business
ドメイン




4,139,462




4,412,534




4,629,473




5,530,692




18,712,163








Home
ドメイン




936,135




979,200




1,010,364




1,063,791




3,989,491








Xドメイン




627,935




613,167




615,810




668,397




2,525,311








Finance
ドメイン




342,382




386,808




467,517




389,749




1,586,457








SaaS Marketing
ドメイン　




738,871




893,395




764,071




1,135,300




3,531,639








その他　※




6,756




10,992




9,236




8,580




35,565








売上高合計




6,791,543




7,296,099




7,496,475




8,796,512




30,380,629








営業損失(△)




△1,625,171




△1,582,813




△1,356,637




△1,765,180




△6,329,802






 


※　講演料及び寄稿料等の売上高であります。
 
 
(2024年11月期)
(単位：千円)
























 




第1四半期
連結会計期間
(自
2023年12月１日
至
2024年２月29日
)




第2四半期
連結会計期間
(自
2024年３月１日
至
2024年５月31日
)




第3四半期
連結会計期間
(自
2024年６月１日
至
2024年８月31日
)




第4四半期
連結会計期間
(自
2024年９月１日
至
2024年11月30日
)




連結会計年度
(自
2023年12月１日
至
2024年11月30日
)








Business
ドメイン




5,994,238




6,065,464




6,234,234




6,957,088




25,251,026








Home
ドメイン




1,088,573




1,204,128




1,166,849




1,267,232




4,726,783








Xドメイン




660,115




736,195




738,975




719,281




2,854,567








Finance
ドメイン




643,471




1,025,753




416,100




460,340




2,545,665








SaaS Marketing
ドメイン　




1,157,121




1,288,545




1,251,395




1,284,730




4,981,793








その他　※




578




263




1,557




1,601




4,001








売上高合計




9,544,098




10,320,351




9,809,113




10,690,273




40,363,837








営業損失(△)




△992,564




△835,014




△1,009,535




△1,898,028




△4,735,143






 


※ 講演料及び寄稿料等の売上高であります。",2127,"要約: 四半期ごとの業績がイベントや新プラン変更により著しく変動する可能性があり、年間の売上高成長が平準化されないリスクがある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",四半期ごとの業績がイベントや新プラン変更により著しく変動する可能性があり、年間の売上高成長が平準化されないリスクがある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,12,"(ア) (ア) プラットフォームサービス事業における先行投資について
当社グループが提供するプラットフォームサービス事業は、開発人員及び営業人員の採用、広告宣伝活動等の先行投資を必要とする事業であり、結果として当社は創業以来営業赤字を継続して計上しております。今後も「すべての人の、『お金のプラットフォーム』になる。」というVisionのもと、より多くの顧客の獲得をめざし、営業や開発等における優秀な人材の採用・育成を計画的に行うとともに、知名度と信頼度の向上のための広報・PR活動、ユーザー獲得のためのマーケティングコスト投下等を効果的に進め、売上高拡大及び収益性の向上に向けた取組を行っていく方針であります。しかしながら、想定通りの採用・育成が進まない場合、マーケティングPR等活動の効果が得られない場合等には、当社グループの事業及び業績に重要な影響を及ぼす可能性があります。",390,"要約: 先行投資により営業赤字が続いており、優秀な人材の採用やマーケティング活動が期待通りに進まない場合、事業や業績に重大な影響を及ぼすリスクがある。

大分類: 3. オペレーショナルリスク  
リスク名: 人材確保/育成リスク",先行投資により営業赤字が続いており、優秀な人材の採用やマーケティング活動が期待通りに進まない場合、事業や業績に重大な影響を及ぼすリスクがある。,3. オペレーショナルリスク,人材確保/育成リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,13,"(イ) (イ) 社歴が浅いことについて
当社は2012年5月に設立されており、社歴の浅い会社であります。したがって、当社グループの過年度の経営成績は期間業績比較を行うための十分な材料とはならず、過年度の業績のみでは今後の業績を判断する情報としては不十分な可能性があります。",136,"要約: 社歴が浅いため、過去の業績が今後の業績を判断する材料として不十分であるリスク。

大分類: 1. 戦略リスク  
リスク名: 新規事業リスク",社歴が浅いため、過去の業績が今後の業績を判断する材料として不十分であるリスク。,1. 戦略リスク,新規事業リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,14,"(ウ) (ウ) 広告宣伝活動により想定通りユーザー数が増加しない可能性について
当社グループの事業にとってユーザー数の増加は非常に重要な要素であり、Webマーケティングを中心とした広告宣伝活動を積極的に実施しユーザー数の増加を図っております。広告宣伝活動については、『マネーフォワード クラウド』を中心とした各サービスにおいて、ユーザー獲得効率を勘案の上、都度、最適な施策を実施しておりますが、必ずしも当社グループの想定通りに推移するとは限りません。これらの要因により、当社が提供しているサービスのユーザー獲得が計画通りに推移しない場合、当社グループの事業及び業績に影響が及ぶ可能性があります。",297,"要約: 広告宣伝活動の効果が予想通りにならず、ユーザー数の増加が進まない可能性があり、これが事業や業績に悪影響を与えるリスクがある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",広告宣伝活動の効果が予想通りにならず、ユーザー数の増加が進まない可能性があり、これが事業や業績に悪影響を与えるリスクがある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,15,"(エ) (エ) Businessドメインの事業運営において業績に影響を与えうる要因について
当社グループの売上高の6割以上はBusinessドメインから創出されております。『マネーフォワード クラウド』は、当社グループ営業人員による士業事務所・事業会社等への直接販売を行っておりますが、営業人員一人当たりの成約金額又は営業人員の獲得が計画通りに推移しない可能性があります。また、インターネットを通じた販売においては、複数のプロダクトの利用(クロスセル)等により将来における1ユーザー当たりの単価について一定の上昇を見込んでおりますが、想定単価が計画通りに推移しない可能性があります。これらの要因により、Businessドメインの事業運営が計画通りに推移しない場合、当社グループの事業及び業績に影響が及ぶ可能性があります。",360,"要約: Businessドメインにおいて営業成績や単価が計画通りに進まない可能性があり、その結果、業績に影響を与えるリスク。

大分類: 1. 戦略リスク  
リスク名: 新規事業リスク",Businessドメインにおいて営業成績や単価が計画通りに進まない可能性があり、その結果、業績に影響を与えるリスク。,1. 戦略リスク,新規事業リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,16,"(オ) (オ) Businessドメイン以外の事業運営において業績に影響を与えうる要因について
Businessドメイン以外の4つのドメインについては、収益性の改善を優先しておりますが、これらのドメインにおいても以下のように事業運営が計画通りに推移しないリスクがあり、その場合には当社グループの事業及び業績に影響が及ぶ可能性があります。
Homeドメインにおいては、プレミアム課金売上について、ユーザー数の増加が計画通りに推移しない場合、又はプレミアムサービスに係る課金率が想定通りに増加しない場合、結果としてプレミアム課金売上が計画通りに増加しない可能性があります。
Xドメインにおいては、地域金融機関経由でDXサービス『Mikatano』の提供を行っているため、地域金融機関の経営方針や営業状況に大きく影響を受け、結果として『Mikatano』の売上が計画通りに増加しない可能性があります。
Financeドメインにおいては、「(3) 法的規制等に関する事項　④　子会社の請求代行・売掛金回収事業及び売掛債権の買取事業について」に記載の通り、与信リスクが存在します。同リスクの大半を保険会社に移転しているものの、市場環境の悪化により与信リスクが高まった場合や想定以上の保証履行が発生した場合には、売上が計画通りに増加しない可能性があります。
SaaS Marketingドメインにおいては、Webマーケティングを中心として一定の広告宣伝活動を行っているため、「(ウ)広告宣伝活動により想定通りユーザー数が増加しない可能性について」に記載の通り集客が想定通りに推移しなかった場合、顧客企業へのリードの提供ができず、売上が計画通りに増加しない可能性があります。",730,"要約: 各事業ドメインでの業績が計画通りに推移しないリスクがあり、特にユーザー数の増加や売上に悪影響を及ぼす可能性が示されています。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",各事業ドメインでの業績が計画通りに推移しないリスクがあり、特にユーザー数の増加や売上に悪影響を及ぼす可能性が示されています。,1. 戦略リスク,市場環境リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,17,"(カ) (カ) ユーザーの継続率について
当社グループの事業にとって、獲得したユーザーのサービスの利用継続率は非常に重要な要素であり、取り扱う情報やサービスの充実等の施策を通じて、継続率の維持、向上を図っております。何らかの施策の見誤りやトラブル等で継続ユーザーが減少した場合には、当社グループの事業及び業績に影響を及ぼす可能性があります。",170,"要約: ユーザーの継続率が事業の重要な要素であり、施策の失敗やトラブルによって減少すると業績に影響するリスク。

大分類: 3. オペレーショナルリスク  
リスク名: 顧客対応リスク",ユーザーの継続率が事業の重要な要素であり、施策の失敗やトラブルによって減少すると業績に影響するリスク。,3. オペレーショナルリスク,顧客対応リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,18,"④ ④ 事業領域の拡大に伴うリスクについて
当社グループの収益は、『マネーフォワード クラウド』による売上の影響を大きく受けている状況であるため、当社グループは、多角的観点から新たな収益源を常に模索し、事業の拡大と安定化に取り組んでおります。今後も、事業領域を拡大し、現在の領域と異なる分野にも進出する可能性があり、新たに進出した分野において収益化が進まない場合、当社グループの業績及び財政状態に影響を与える可能性があります。",213,"要約: 新たな事業領域への進出が収益化に失敗する可能性があり、業績や財政状態に影響を与えるリスク。

大分類: 1. 戦略リスク  
リスク名: 新規事業リスク",新たな事業領域への進出が収益化に失敗する可能性があり、業績や財政状態に影響を与えるリスク。,1. 戦略リスク,新規事業リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,19,"⑤ ⑤ 投融資について
当社グループでは、今後の事業拡大のために、国内外を問わず出資、子会社設立、合弁事業の展開、アライアンス、M&A等の投融資を実施する場合があります。
投融資については、リスク及び回収可能性を十分に事前評価し決定してまいりますが、投融資先の事業の状況が当社グループに与える影響を確実に予想することは困難な場合もあり、投融資額を回収できなかった場合や減損の対象となる事業が生じた場合には、当社グループの業績及び財政状態に影響を与える可能性があります。",234,"要約: 投融資に関して、回収可能性の評価が困難なため、投融資先の事業状況が影響を与え、業績や財政状態に悪影響を及ぼすリスクがある。

大分類: 1. 戦略リスク  
リスク名: 投融資リスク",投融資に関して、回収可能性の評価が困難なため、投融資先の事業状況が影響を与え、業績や財政状態に悪影響を及ぼすリスクがある。,1. 戦略リスク,投融資リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,21,"① ① 電子決済等代行業について
当社は、電子決済等代行業を営むため、銀行法等に基づく電子決済等代行業者として登録を受け(関東財務局長(電代)第3号)、銀行法等の適用を受けております。当社では、内部管理統制の構築・運用等により銀行法等の遵守を徹底しており、本書提出日現在において取消原因となるような事象は発生しておりません。しかしながら、仮に当社が銀行法等に違反して、監督上必要な措置(銀行法第52条の61の16)又は登録の取消し若しくは業務の停止(銀行法第52条の61の17)を命じる行政処分が発せられた場合、又は法解釈等の違いにより監督当局からの行政指導や行政処分を受けた場合には、『マネーフォワード クラウド』及び『マネーフォワード ME』等において、銀行等の預貯金取扱金融機関(以下「銀行等」という。)のアカウントアグリゲーションが困難になり、当社グループの事業及び業績に影響を与える可能性があります。
また、銀行法等では、電子決済等代行業者に対して、銀行等との間で電子決済等代行業に関する契約締結義務(銀行法第52条の61の10)を定めており、当社は各銀行等と契約を締結しておりますが、当該銀行等との間で契約を維持できなくなった場合には、『マネーフォワード クラウド』及び『マネーフォワード ME』等において、銀行等のアカウントアグリゲーションが困難になり、当社グループの事業及び業績に影響を与える可能性があります。
 
なお、電子決済等代行業登録の状況の概況は次の通りであります。
 
















取得年月




2018年10月 1日








登録の名称




電子決済等代行業








所管官庁等




金融庁








登録の内容




銀行法に定める電子決済等代行業を営むこと
顧客の委託を受けて、銀行等の口座に係る送金指示を、銀行に対して伝達する業務
顧客の委託を受けて、銀行等の口座情報を取得し、顧客に提供を行う業務








有効期限




なし








法令違反の要件及び
主な登録取消事由




・登録拒否事由に該当することとなったとき
・不正の手段により登録を受けたとき
・銀行法に基づく処分に違反したとき
・電子決済等代行業の業務に関し著しく不適当な行為をしたと認められるとき",989,"要約: 銀行法等に違反した場合、行政処分が発せられ、電子決済代行業務が困難になるリスクがある。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: 法規制リスク",銀行法等に違反した場合、行政処分が発せられ、電子決済代行業務が困難になるリスクがある。,4. 法務・コンプライアンスリスク,法規制リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,22,"② ② 銀行法等の適用を受けない金融機関等のアカウントアグリゲーションについて
当社グループの『マネーフォワード クラウド』及び『マネーフォワード ME』は金融機関や事業会社(以下「金融機関等」という。)のインターネット上の口座と自動連携するアカウントアグリゲーション技術によって成り立っており、銀行法等の適用を受けない金融機関等については、顧客から直接金融機関等の口座情報等にアクセスする権利の付与を受ける形となっております。したがいまして、金融機関等が当社グループサービス経由での口座情報へのアクセスを拒絶した場合、情報の取得ができなくなる恐れがあります。
当社グループにおいては、一部の金融機関等と電子決済等代行業と同様に口座情報へのアクセスに関する契約を締結しております。また、金融機関等のシステムへの負荷を最小限とできるよう配慮したシステム設計を行っており、一部の金融機関等からは、当社グループの接続元IPアドレスを開示する等の特別なアクセスの許可を得ている他、金融機関等からの照会にも迅速に対応することで、金融機関等とは良好な関係を維持しておりますが、何らかの事象により金融機関等が当社グループサービス経由での口座情報へのアクセスを拒絶した場合、金融機関等の情報の取得ができなくなる結果、『マネーフォワード クラウド』及び『マネーフォワード ME』等の一部機能の提供が困難になり、当社グループの事業及び業績に影響を及ぼす可能性があります。",625,"要約: 金融機関が口座情報へのアクセスを拒否した場合、「マネーフォワード クラウド」や「マネーフォワード ME」の機能提供が困難となり、事業や業績に影響が出るリスク。

大分類: 3. オペレーショナルリスク  
リスク名: サプライチェーンリスク",金融機関が口座情報へのアクセスを拒否した場合、「マネーフォワード クラウド」や「マネーフォワード ME」の機能提供が困難となり、事業や業績に影響が出るリスク。,3. オペレーショナルリスク,サプライチェーンリスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,23,"③ ③ 二月払購入あっせんについて
当社は、『マネーフォワード Pay for Business』サービスにおいて、「あと払い機能」を提供することにより、割賦販売法第35条の16第2項に定める二月払購入あっせんに係る事業を営んでおり、クレジットカード番号等の適切な管理に関する規制の適用を受けるほか、「犯罪による収益の移転防止に関する法律」が定める特定事業者に該当しております。当社は、『マネーフォワード Pay for Business』サービスを提供するに際し、同法に基づき所定の書類等をユーザーから徴求し、本人確認を実施するとともに本人確認書類及び取引記録を保存しています。また、当社においては、マネー・ローンダリング及びテロ資金供与防止のための基本方針を定め、特定事業者としての業務の適切性及び健全性の確保に努めております。
しかしながら、当社の内部管理態勢が同法に適合していない事態が発生した場合や、今後新たな法的規制が設けられた場合、『マネーフォワード Pay for Business』サービスの一部機能の提供が困難になり、当社グループの事業及び業績に影響を及ぼす可能性があります。",498,"要約: 当社は特定事業者として法的規制を遵守する必要があり、内部管理が適合しない場合や新たな規制が導入されると、サービス提供に影響が出るリスクがあります。
大分類: 4. 法務・コンプライアンスリスク
リスク名: 法規制リスク",当社は特定事業者として法的規制を遵守する必要があり、内部管理が適合しない場合や新たな規制が導入されると、サービス提供に影響が出るリスクがあります。,4. 法務・コンプライアンスリスク,法規制リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,24,"④ ④ 子会社の請求代行・売掛金回収事業及び売掛債権の買取事業について
当社グループでは子会社のマネーフォワードケッサイ株式会社及び株式会社Biz Forwardで請求代行・売掛金回収事業(取引先への請求から代金回収までを一括で請け負い、売掛金の回収を保証する決済サービス)並びに売掛債権の買取事業(売掛金早期資金化サービス)を行っております。これらマネーフォワードケッサイ株式会社及び株式会社Biz Forwardのサービスを利用する債権売却事業者及びその取引先は比較的小規模で相対的に与信リスクの高い企業及び事業主が多く、与信管理が重要になります。債権売却事業者及びその取引先からの代金回収方法としては、当社グループのマネーフォワードホショウ株式会社の保証を受けることで回収の確実化を図っており、また保険によりリスクを保険会社に移転しております。当社グループ全体としては債権売却事業者及びその取引先に対する与信リスクを一部負担していることになります。当社グループでは、中小企業決済に関する与信管理のノウハウを十分持っていると認識しておりますが、想定以上の保証履行が発生した場合、当社グループの業績に悪影響を与える可能性があります。
また、当該事業は、「割賦販売法」上の包括信用購入あっせん、「貸金業法」上の貸金業及び「銀行法」上の為替取引のいずれにも該当せず、いわゆる業法上の法的規制の対象とはなっておりません。しかしながら、今後新たな法律の制定や現行法の解釈に変化があった場合には、これらの事業が法的規制の対象となる可能性があり、その場合、マネーフォワードケッサイ株式会社及び株式会社Biz Forwardにおける事業の継続に支障をきたし、当社グループの業績に悪影響を与える可能性があります。",749,"要約: 子会社の売掛金回収事業では、中小企業との取引により与信リスクがあり、保証履行が予想以上に発生すると業績に影響を与える可能性がある。また、新たな法律の制定により事業が法的規制の対象となるリスクも存在する。

大分類: 3. オペレーショナルリスク  
リスク名: 与信管理リスク",子会社の売掛金回収事業では、中小企業との取引により与信リスクがあり、保証履行が予想以上に発生すると業績に影響を与える可能性がある。また、新たな法律の制定により事業が法的規制の対象となるリスクも存在する。,3. オペレーショナルリスク,与信管理リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,25,"⑤ ⑤ 個人情報保護について
当社グループでは、金融機関等へのウェブサイトログイン情報等の個人情報を取得しているため、当社グループは「個人情報の保護に関する法律」が定める個人情報取扱事業者に該当しております(ただし、当社グループでは金融機関等にログインを行うためのパスワードの取得に留まっており、また、『マネーフォワード ME』では生年月日や住所、電話番号も取得しておりません。)。当社グループにおいては、個人情報保護方針を定め、個人情報の取得の際には利用目的を明示し、その範囲内でのみ利用するとともに、個人情報の管理につきましても、役員及び従業員を対象とした個人情報の取扱いに関する社内研修や、社内でのアクセス権限の設定、アクセスログの保存、データセンターでの適切な情報管理、個人情報管理に関する規程の整備を行っております。また、日本シーサート協議会に加盟し、さまざまなインシデント関連情報、脆弱性情報、攻撃予兆情報等を収集することで、個人情報を含む当社グループの情報資産の保護に取り組んでおります。
しかしながら、外部からの不正アクセス、社内管理体制の不備、その他想定外の事態の発生により個人情報が社外に流出した場合、損害賠償請求を受ける可能性や当社グループの社会的信用を失うこと等が想定され、当社グループの事業及び業績に影響を及ぼす可能性があります。",578,"要約: 個人情報が不正アクセスや管理体制の不備により流出した場合、損害賠償請求や社会的信用の喪失が業績に影響を及ぼすリスク。

大分類: 6. 技術・情報リスク  
リスク名: 個人情報保護リスク",個人情報が不正アクセスや管理体制の不備により流出した場合、損害賠償請求や社会的信用の喪失が業績に影響を及ぼすリスク。,6. 技術・情報リスク,個人情報保護リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,26,"⑥ ⑥ 訴訟等について
当社グループは、本書提出日現在において提起されている訴訟はありません。しかしながら、将来何らかの事由の発生により、訴訟等による請求を受ける可能性を完全に回避することは困難であり、このような事態が生じた場合、当社グループの事業及び業績に影響が及ぶ可能性があります。",143,"要約: 将来の訴訟リスクがあり、その影響で業績が悪化する可能性がある。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: 訴訟リスク",将来の訴訟リスクがあり、その影響で業績が悪化する可能性がある。,4. 法務・コンプライアンスリスク,訴訟リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,27,"⑦ ⑦ 知的財産権について
当社グループによる第三者の知的財産権侵害の可能性については、専門家と連携を取り調査可能な範囲で対応を行っておりますが、当社グループの事業領域に関する第三者の知的財産権の完全な把握は困難であり、当社グループが認識せずに他社の知的財産権を侵害してしまう可能性は否定できません。この場合、損害賠償請求や使用差止請求等により、当社グループの事業及び業績に影響を及ぼす可能性があります。",202,"要約: 第三者の知的財産権を侵害するリスクがあり、これにより損害賠償請求や業績への影響が懸念される。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: 知的財産リスク  ",第三者の知的財産権を侵害するリスクがあり、これにより損害賠償請求や業績への影響が懸念される。,4. 法務・コンプライアンスリスク,知的財産リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,29,"① ① 特定人物への依存について
当社の代表取締役社長グループCEOである辻庸介は、当社設立以来当社グループの事業に深く関与しており、また、Fintechに関する豊富な知識と経験を有しており、経営戦略の構築やその実行に際して重要な役割を担っております。当社グループは、特定の人物に依存しない体制を構築すべく組織体制の強化を図り、同氏に過度に依存しない経営体制の整備を進めておりますが、何らかの理由により同氏の当社グループにおける業務執行が困難になった場合、当社グループの事業及び業績に影響を及ぼす可能性があります。",257,"要約: 代表取締役社長に対する依存があり、彼が業務を続けられなくなった場合、企業の事業や業績に悪影響が出るリスク。

大分類: 9. その他リスク  
リスク名: 経営者依存リスク  ",代表取締役社長に対する依存があり、彼が業務を続けられなくなった場合、企業の事業や業績に悪影響が出るリスク。,9. その他リスク,経営者依存リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,30,"② ② 人材の獲得、育成について
当社グループが、今後とも企業規模を拡大していくためには、当社グループのMission、Vision、Valuesに共感し、当社グループのCultureに適合する高い意欲を持った優秀な人材を確保することが必要不可欠であります。
当社グループは、規模拡大やサービス向上に必要な優秀な人材の確保のため、今後も必要に応じて採用活動を行っていく予定ではありますが、人材獲得競争の激化や市場ニーズの変化等により、優秀な人材が十分に獲得できなかった場合や人材流出が生じた場合には、当社グループの事業及び業績に影響を及ぼす可能性があります。
なお、当社グループでは、「1 経営方針、経営環境及び対処すべき課題等」に記載の通り、重点テーマ(マテリアリティ)として、＜Talent Forward：社員の才能をもっと前へ。＞を設定し、働きがいと働きやすさのある職場作りに取り組んでおります。",402,"要約: 資格と意欲を持った優秀な人材を確保することが企業の成長に不可欠であり、競争激化や市場ニーズの変化により必要な人材が獲得できない場合、業績に悪影響が出る可能性があるリスク。

大分類: 3. オペレーショナルリスク  
リスク名: 人材確保/育成リスク",資格と意欲を持った優秀な人材を確保することが企業の成長に不可欠であり、競争激化や市場ニーズの変化により必要な人材が獲得できない場合、業績に悪影響が出る可能性があるリスク。,3. オペレーショナルリスク,人材確保/育成リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,31,"③ ③ 内部管理体制について
当社グループは今後の事業運営及び事業拡大に対応するため、内部管理体制について一層の充実を図る必要があると認識しております。今後、事業規模の拡大に合わせ、内部管理体制も充実・強化させていく方針でありますが、事業規模に適した内部管理体制の構築に遅れが生じた場合、当社グループの事業及び業績に影響を及ぼす可能性があります。",173,"要約: 内部管理体制の充実が遅れると、事業運営や業績に悪影響を及ぼす可能性があるリスク。

大分類: 3. オペレーショナルリスク  
リスク名: 内部管理リスク",内部管理体制の充実が遅れると、事業運営や業績に悪影響を及ぼす可能性があるリスク。,3. オペレーショナルリスク,内部管理リスク,情報・通信業
S100VA5N,株式会社マネーフォワード,2025-02-25 15:30,32,"④ ④ システムの安定性について
当社グループの運営するサービスはシステムへの依存度の高いサービスとなっていることから、システムの安定的な稼動が当社グループの業務遂行上必要不可欠な事項となっております。そのため、当社グループでは継続的な設備投資を実施するだけではなく、サービスで使用するサーバー設備やネットワークを常時監視し、障害の兆候が見られた場合にはシステム担当の役職員に対し自動でメールが送信される等、システム障害の発生を未然に防ぐことに努めております。
しかしながら、アクセスの急増、ソフトウエアの不備、コンピューターウイルスや人的な破壊行為、役職員の過誤、自然災害等、当社グループの想定していない事象の発生によるサービスの停止により収益機会の喪失を招く恐れがあります。このような事態が発生した場合には当社グループが社会的信用を失うこと等が想定され、当社グループの業績に影響を及ぼす可能性があります。",404,"要約: システムの安定性への依存が高く、システム障害や不測の事象が発生するとサービス停止や業績への影響が懸念されるリスク。

大分類: 6. 技術・情報リスク  
リスク名: システム障害リスク",システムの安定性への依存が高く、システム障害や不測の事象が発生するとサービス停止や業績への影響が懸念されるリスク。,6. 技術・情報リスク,システム障害リスク,情報・通信業
